,country,fifa_rank,gdp_rank,population_rank,avg_age,elo_ranking,star_count,coach_performance,home_country_adv,home_continent_adv,% of player in foreign club,Previous_final,Previous_semi_final,last_best_performance,att,mid,def,ovr,spi,global_o,global_d,avg_players_appearance,avg_players_goal,Happiness.Score,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.
0,russia,70,60,9,28.1,1697,1,32,1,1,0.05,0,1,14,79,77,75,79,70.14205,1.94268,0.8043899999999999,28.52173913043478,2.4347826086956523,5.962999820709231,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522
1,saudi arabia,67,37,47,28.7,1574,0,9,0,0,0.0,0,0,33,71,72,71,72,51.3338,1.47177,1.20177,34.30434782608695,3.9565217391304346,6.343999862670901,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126004
2,egypt,45,132,14,27.0,1659,1,15,0,0,0.58,0,0,51,75,77,74,76,62.46236,1.60808,0.85654,37.30434782608695,2.782608695652174,4.7350001335144,0.520187258720398,0.28211015462875394,0.128631442785263,0.114381365478039
3,uruguay,14,45,133,28.7,1866,3,7,0,0,0.88,2,5,10,86,77,80,80,79.52363000000003,2.2853,0.62285,42.26086956521739,5.826086956521738,6.4539999961853,0.719216823577881,0.5793922543525699,0.175096929073334,0.17806187272071802
4,portugal,4,36,84,27.7,1995,3,5,0,0,0.71,0,2,24,88,83,82,84,83.46619,2.40348,0.50431,39.52173913043478,6.173913043478262,5.19500017166138,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399
5,spain,10,31,28,28.0,2031,6,4,0,1,0.35,1,2,6,84,86,85,85,91.30254,3.2111400000000003,0.46145,42.21739130434783,4.565217391304348,6.40299987792969,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986
6,morocco,41,125,40,27.2,1691,0,8,0,0,0.85,0,0,39,74,77,77,76,72.33079000000002,1.86875,0.65756,24.04347826086957,2.608695652173913,5.2350001335144,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896
7,iran,37,92,17,26.5,1799,0,14,0,0,0.42,0,0,36,74,73,73,74,65.56769,1.60243,0.72717,30.52173913043478,4.739130434782608,4.69199991226196,0.639333188533783,0.24932260811328896,0.387242913246155,0.048761073499918005
8,france,7,24,21,26.4,1989,5,12,0,1,0.67,2,5,7,86,84,82,85,87.17681999999998,2.8858200000000003,0.56975,26.04347826086957,3.782608695652174,6.44199991226196,0.8444658517837521,0.470222115516663,0.129762306809425,0.172502428293228
9,australia,36,10,56,26.9,1727,0,23,0,0,0.81,0,0,32,69,72,70,72,61.68548000000001,1.7923,1.04721,29.82608695652174,5.260869565217392,7.28399991989136,0.84388679265976,0.601607382297516,0.47769924998283403,0.301183730363846
10,peru,11,84,43,27.0,1881,0,11,0,0,0.54,0,0,38,78,75,74,76,72.15616,1.97974,0.74528,34.08695652173913,4.130434782608695,5.71500015258789,0.6301661133766171,0.45000287890434293,0.126819714903831,0.0470490865409374
11,denmark,12,9,116,26.1,1842,1,19,0,1,0.89,0,0,40,76,79,76,78,74.74844,2.13883,0.74455,26.56521739130435,2.8260869565217392,7.52199983596802,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816863997
12,argentina,5,53,31,28.4,1984,4,3,0,0,0.84,5,5,4,86,82,81,84,87.41192,2.58581,0.39899,37.34782608695652,7.478260869565218,6.59899997711182,0.695137083530426,0.49451920390129106,0.109457060694695,0.05973988771438599
13,iceland,22,4,178,29.0,1811,0,10,0,1,1.0,0,0,77,75,78,74,75,67.07394000000001,1.92122,0.92018,40.04347826086956,3.5217391304347827,7.50400018692017,0.8335521221160892,0.6271626353263849,0.47554022073745705,0.15352655947208402
14,croatia,20,56,128,27.5,1856,3,30,0,0,1.0,0,1,34,81,82,78,80,80.38099,2.28947,0.58512,40.30434782608695,5.043478260869565,5.2930002212524405,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946
15,nigeria,48,139,7,24.9,1696,0,20,0,0,0.91,0,0,30,75,76,72,75,70.08336,1.81501,0.71082,25.608695652173914,2.4347826086956523,5.07399988174438,0.0569157302379608,0.394952565431595,0.23094719648361198,0.0261215660721064
16,brazil,2,66,5,27.8,2114,4,2,0,0,0.8,7,11,1,87,85,84,86,92.81522,3.10876,0.30493000000000003,29.869565217391305,5.521739130434782,6.6350002288818395,0.6165523529052729,0.437453746795654,0.16234989464282998,0.11109276115894301
17,switzerland,6,2,98,26.6,1866,0,13,0,1,0.9,0,0,13,76,77,78,78,78.14180999999998,2.28471,0.68735,37.34782608695652,4.260869565217392,7.49399995803833,0.858131289482117,0.620070576667786,0.29054927825927696,0.36700728535652205
18,costa rica,23,58,123,29.0,1746,1,28,0,0,0.67,0,0,37,69,73,73,73,64.89752,1.73368,0.8612799999999999,51.34782608695652,5.0,7.0789999961853,0.7595092654228209,0.580131649971008,0.21461322903633104,0.100106589496136
19,serbia,34,89,102,27.7,1769,0,31,0,1,0.92,0,2,11,76,81,78,78,73.8232,2.08408,0.74737,25.956521739130434,2.8260869565217392,5.39499998092651,0.65078467130661,0.20871552824974102,0.22012588381767298,0.0409037806093693
20,germany,1,17,19,25.7,2109,6,1,0,1,0.32,8,13,2,85,85,85,86,90.61094,3.23346,0.5222399999999999,41.08695652173913,6.913043478260869,6.9510002136230495,0.798950731754303,0.562511384487152,0.33626917004585305,0.276731938123703
21,mexico,15,70,11,27.4,1848,0,16,0,0,0.34,0,0,5,81,79,77,79,75.77906,2.16425,0.7156399999999999,60.30434782608695,9.0,6.57800006866455,0.709978997707367,0.412730008363724,0.12099043279886199,0.132774114608765
22,sweden,24,11,91,27.4,1825,1,24,0,1,1.0,1,4,12,78,76,77,77,73.86757,2.05513,0.72496,31.30434782608696,3.1739130434782608,7.28399991989136,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085
23,south korea,57,28,27,26.5,1760,1,25,0,0,0.59,0,1,15,71,74,70,73,60.1367,1.61593,0.95934,29.30434782608696,3.347826086956522,5.837999820709231,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457
